NOMBRE MUNICIPIO,CODIGO PROVINCIA,CODIGO MUNICIPIO
AGRÓN,18,001
ALAMEDILLA,18,002
ALBOLOTE,18,003
ALBONDÓN,18,004
ALBUÑÁN,18,005
ALBUÑOL,18,006
ALBUÑUELAS,18,007
ALDEIRE,18,010
ALFACAR,18,011
ALGARINEJO,18,012
ALHAMA DE GRANADA,18,013
ALHENDÍN,18,014
ALICÚN DE ORTEGA,18,015
ALMEGÍJAR,18,016
ALMUÑÉCAR,18,017
ALQUIFE,18,018
ARENAS DEL REY,18,020
ARMILLA,18,021
ATARFE,18,022
BAZA,18,023
BEAS DE GRANADA,18,024
BEAS DE GUADIX,18,025
BENALÚA,18,027
BENALÚA DE LAS VILLAS,18,028
BENAMAUREL,18,029
BÉRCHULES,18,030
BUBIÓN,18,032
BUSQUÍSTAR,18,033
CACÍN,18,034
CÁDIAR,18,035
CÁJAR,18,036
CALICASAS,18,037
CAMPOTÉJAR,18,038
CANILES,18,039
CÁÑAR,18,040
CAPILEIRA,18,042
CARATAUNAS,18,043
CÁSTARAS,18,044
CASTILLÉJAR,18,045
CASTRIL,18,046
CENES DE LA VEGA,18,047
CIJUELA,18,048
COGOLLOS DE GUADIX,18,049
COGOLLOS DE LA VEGA,18,050
COLOMERA,18,051
CORTES DE BAZA,18,053
CORTES Y GRAENA,18,054
CÚLLAR,18,056
CÚLLAR VEGA,18,057
CHAUCHINA,18,059
CHIMENEAS,18,061
CHURRIANA DE LA VEGA,18,062
DARRO,18,063
DEHESAS DE GUADIX,18,064
DEIFONTES,18,066
DIEZMA,18,067
DÍLAR,18,068
DÓLAR,18,069
DÚDAR,18,070
DÚRCAL,18,071
ESCÚZAR,18,072
FERREIRA,18,074
FONELAS,18,076
FREILA,18,078
FUENTE VAQUEROS,18,079
GALERA,18,082
GOBERNADOR,18,083
GÓJAR,18,084
GOR,18,085
GORAFE,18,086
GRANADA,18,087
GUADAHORTUNA,18,088
GUADIX,18,089
GUALCHOS,18,093
GÜEJAR SIERRA,18,094
GÜEVÉJAR,18,095
HUÉLAGO,18,096
HUÉNEJA,18,097
HUÉSCAR,18,098
HUÉTOR DE SANTILLÁN,18,099
HUÉTOR TÁJAR,18,100
HUÉTOR VEGA,18,101
ILLORA,18,102
ITRABO,18,103
IZNALLOZ,18,105
JAYENA,18,107
JEREZ DEL MARQUESADO,18,108
JETE,18,109
JUN,18,111
JUVILES,18,112
CALAHORRA (LA),18,114
LÁCHAR,18,115
LANJARÓN,18,116
LANTEIRA,18,117
LECRÍN,18,119
LENTEGÍ,18,120
LOBRAS,18,121
LOJA,18,122
LUGROS,18,123
LÚJAR,18,124
MALAHÁ (LA),18,126
MARACENA,18,127
MARCHAL,18,128
MOCLÍN,18,132
MOLVÍZAR,18,133
MONACHIL,18,134
MONTEFRÍO,18,135
MONTEJÍCAR,18,136
MONTILLANA,18,137
MORALEDA DE ZAFAYONA,18,138
MOTRIL,18,140
MURTAS,18,141
NIGÜELAS,18,143
NÍVAR,18,144
OGÍJARES,18,145
ORCE,18,146
ÓRGIVA,18,147
OTÍVAR,18,148
VILLA DE OTURA,18,149
PADUL,18,150
PAMPANEIRA,18,151
PEDRO MARTÍNEZ,18,152
PELIGROS,18,153
PEZA (LA),18,154
PINOS GENIL,18,157
PINOS PUENTE,18,158
PÍÑAR,18,159
POLÍCAR,18,161
POLOPOS,18,162
PÓRTUGOS,18,163
PUEBLA DE DON FADRIQUE,18,164
PULIANAS,18,165
PURULLENA,18,167
QUÉNTAR,18,168
RUBITE,18,170
SALAR,18,171
SALOBREÑA,18,173
SANTA CRUZ DEL COMERCIO,18,174
SANTA FE,18,175
SOPORTÚJAR,18,176
SORVILÁN,18,177
TORRE-CARDELA,18,178
TORVIZCÓN,18,179
TREVÉLEZ,18,180
TURÓN,18,181
UGÍJAR,18,182
VÁLOR,18,183
VÉLEZ DE BENAUDALLA,18,184
VENTAS DE HUELMA,18,185
VILLANUEVA DE LAS TORRES,18,187
VILLANUEVA MESÍA,18,188
VÍZNAR,18,189
ZAFARRAYA,18,192
ZUBIA (LA),18,193
ZÚJAR,18,194
TAHA (LA),18,901
VALLE (EL),18,902
NEVADA,18,903
ALPUJARRA DE LA SIERRA,18,904
GABIAS (LAS),18,905
GUAJARES (LOS),18,906
VALLE DEL ZALABÍ,18,907
VILLAMENA,18,908
MORELÁBOR,18,909
PINAR (EL),18,910
VEGAS DEL GENIL,18,911
CUEVAS DEL CAMPO,18,912
ZAGRA,18,913
